X,Y,OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID
16.6958785410001,49.2090870870001,777,60206130912,-591628.716,-1159892.217,2013/05/17 00:00:00+00,5,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1730,17,květen,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Líšeň,16.6958785410001,49.2090870870001,{DDCC5291-8928-495C-B01A-8005582A73E2}
16.616800198,49.1965982190001,778,60206130931,-597506.341,-1160657.344,2013/05/20 00:00:00+00,1,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1423,14,květen,den,pondělí,Pod vlivem drog,ano,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,10000,0,0,1,1,,16-18,žena,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.616800198,49.1965982190001,{4C908B98-A103-476A-8BF5-AD012B781A25}
16.616800198,49.1965982190001,779,60206130931,-597506.341,-1160657.344,2013/05/20 00:00:00+00,1,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1423,14,květen,den,pondělí,Pod vlivem drog,ano,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,10000,0,0,1,1,,7-11,chlapec (do 15 let),jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.616800198,49.1965982190001,{2BD37B6C-35EF-4B0A-9AC8-733FE71E6F4C}
16.616800198,49.1965982190001,780,60206130931,-597506.341,-1160657.344,2013/05/20 00:00:00+00,1,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1423,14,květen,den,pondělí,Pod vlivem drog,ano,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,10000,0,0,1,1,,0-6,chlapec (do 15 let),jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.616800198,49.1965982190001,{55AA0431-669C-4357-8750-30BADB3CA889}
16.6001881890001,49.2067678880001,781,60206130934,-598588.274,-1159402.889,2013/05/20 00:00:00+00,1,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1620,16,květen,den,pondělí,Nezjišťován,nezjišťováno,nezaviněno řidičem,jiný druh nehody,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,0,1,,,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení po vyznačeném přechodu,nebylo třeba poskytnout,bez zranění,Brno-střed,16.6001881890001,49.2067678880001,{5189F5DB-F24B-4ACA-A079-85B55C4AF39E}
16.6246026900001,49.163367346,782,60206130937,-597337.416,-1164392.406,2013/05/20 00:00:00+00,1,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1820,18,květen,den,pondělí,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,"komunikace účelová - ostatní (parkoviště, odpočívky apod.",0,1,0,2500,0,0,0,1,,,žena,žena,nezjištěno,žádné z uvedených,jiná situace,nebylo třeba poskytnout,bez zranění,Brno-jih,16.6246026900001,49.163367346,{AC1E497A-098F-4918-BDA9-95CF7D27005C}
16.5125026860001,49.2181202310001,783,60206130942,-604802.396,-1157456.875,2013/05/15 00:00:00+00,3,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1215,12,květen,den,středa,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,2000,0,0,1,1,,61-70,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,,lehké zranění,Brno-Bystrc,16.5125026860001,49.2181202310001,{6CAF4137-EEFF-4757-A57A-302113A5A024}
16.623861682,49.1736419260001,784,60206130949,-597268.567,-1163250.645,2013/05/22 00:00:00+00,3,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1300,13,květen,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,1,0,0,0,1,0,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené","chůze, stání na chodníku",vozidlem RZP,těžké zranění,Brno-jih,16.623861682,49.1736419260001,{7E0A07DB-18E3-4D36-8680-875E5A536696}
16.645799685,49.2070896870001,785,60206130956,-595280.311,-1159723.879,2013/05/23 00:00:00+00,4,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",710,7,květen,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,33-44,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi 1 ‰ a více","správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Židenice,16.645799685,49.2070896870001,{AAD3D47B-39D8-4006-8EEF-F7F9FC03E070}
16.6101519480001,49.208237366,786,60206130959,-597848.949,-1159318.487,2013/05/22 00:00:00+00,3,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1608,16,květen,den,středa,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,19-24,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,jinou osobou,lehké zranění,Brno-střed,16.6101519480001,49.208237366,{42B51768-FD28-4679-9D29-6F59A900F2A6}
16.588292682,49.1886217420001,787,60206130960,-599667.387,-1161315.724,2013/05/23 00:00:00+00,4,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",920,9,květen,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,24-32,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.588292682,49.1886217420001,{073C8EBA-1587-4E3E-B925-6A64B2A6D650}
