ObjectId,platnostod,platnostdo,datum_exportu,GlobalID,SHAPE_Length,SHAPE_Area
2091,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{7194ADE1-DDD5-4EF8-A475-B4A2972825DE},0.00138311000175009,1.69042748220247e-08
2092,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{CE8641CE-8012-4704-B692-E63A19BAB8B0},0.000769842550092329,8.79878485302406e-09
2093,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4E39FA28-4D1F-4F45-BF16-D121A8B8E62E},0.000874036900168945,1.0818423666995e-08
2094,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{48097028-7F2E-4359-AFCB-B116E2C071D5},0.000211571203374344,1.62413760995647e-09
2095,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{5F08B5B4-4733-4551-A706-CB3A54A2327C},0.000206375567983404,1.78274010997738e-09
2096,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{F86F9CBF-8EA0-4626-B083-7FB6B0BB9949},0.000101491713566722,3.48246645955926e-10
2097,2019/09/30 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{0DBDEB9C-62CC-44A1-8907-7583D40C9542},0.000612523729448674,7.45244190152453e-09
2098,2019/09/30 00:00:00+00,2020/12/18 00:00:00+00,2022/03/31 00:00:00+00,{EAA94134-C224-4014-B5B8-8A4BC92E91B8},0.00040722135557292,3.56284341212443e-09
2099,2019/09/30 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{8CDCC95C-2C9B-4201-AA21-36DFF2E5ECA5},0.000163326317624537,1.38499858918451e-09
2100,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{0745143B-5427-4AE4-B1F9-35ADD91EBC56},0.000291268081478587,2.26951219498144e-09
2101,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{CEA0DF38-4508-43CE-88E9-F6BEE69766BE},0.000392681913099546,5.88482208085339e-09
2102,2019/09/30 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{181C25AB-D95D-4C93-808B-5BB6501F85B1},0.000338138799745262,2.75199553807463e-09
2103,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{AB1B54E2-5058-40AF-B080-88D0814C5DB5},0.000151712375059642,1.2353967001921e-09
2104,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{06B07887-4184-458E-9A0F-A58CC4D86975},0.000273260412396768,4.21091447676542e-09
2105,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{45DC6A75-420A-4B72-A589-CCC4399D3361},0.000291978856997881,3.45198038799179e-09
2106,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{FB14431B-A1D9-4695-81BC-486CA9F32CF8},0.000174801962782744,1.00715861471473e-09
2107,2020/08/24 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{34295FEB-F09C-4373-853D-DA06FE13352A},0.000135516236602211,1.07384602998863e-09
2108,2019/09/30 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{F5E97072-2D23-46E2-837F-69B999DCBF45},0.00021287631565442,2.74185140043928e-09
2109,2019/09/30 00:00:00+00,2020/08/24 00:00:00+00,2022/03/31 00:00:00+00,{53AEC487-FB00-4C79-AD9C-B2DB192773C2},0.00017491273117117,1.69257804833366e-09
2110,2020/08/26 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4F61A6D0-4340-4A3D-B5D5-7871C9D96774},0.000578341732386174,7.02601736471766e-09
2111,2020/08/25 00:00:00+00,2020/08/25 00:00:00+00,2022/03/31 00:00:00+00,{C5D469D0-C0B0-4CB0-9784-779F3437C0DE},0.000686234511329529,1.1054945103401e-08
