X,Y,ObjectId,stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,GlobalID
16.5153480000001,48.976752,36,U15327Z2,"Pohořelice, Městský úřad",48.976752,16.515348,530,0,U15327N22,2,{1A071BA0-178B-45F5-8EA5-7C79E219D927}
16.5168350000001,48.9713370000001,37,U15368Z2,"Pohořelice, průmyslová zóna jih",48.971337,16.516835,530,0,U15368N21,2,{EDC42101-29BC-4D01-BF01-2CEB97AD691D}
16.519344,48.9618600000001,38,U15325Z2,"Pohořelice, Velký Dvůr, rozcestí",48.96186,16.519344,530,0,U15325N20,2,{6E3E7687-322C-4B7B-9957-1871F5912074}
16.484063,48.9337,39,U15433Z1,"Vlasatice, obecní úřad",48.9337,16.484063,540,0,U15433N19,2,{C19A695A-FFEA-4FD3-9977-CD3F11F1CE28}
16.4835400000001,48.9311280000001,40,U15434Z1,"Vlasatice, Troskotovická",48.931128,16.48354,540,0,U15434N18,2,{51A00F36-3D2E-4E76-B842-18E91CBD32D8}
16.4408980000001,48.921882,41,U15429Z1,"Troskotovice, hřbitov",48.921882,16.440898,540,0,U15429N17,2,{21EEEE41-2D42-4466-A48F-953822DB0291}
16.4366920000001,48.9188780000001,42,U15431Z1,"Troskotovice, škola",48.918878,16.436692,540,0,U15431N16,2,{C762181F-6E7E-4337-B8D1-96EE345E3BE8}
16.4325200000001,48.9186980000001,43,U15430Z1,"Troskotovice, prodejna",48.918698,16.43252,540,0,U15430N15,2,{145AF475-FCAA-4C0E-A9FE-B6D2C86965A3}
16.39138,48.9206970000001,44,U15552Z1,Jiřice u Miroslavi,48.920697,16.39138,550,0,U15552N14,2,{8FF6ABDE-A41D-4776-B528-4C09182C0E52}
16.4031400000001,48.8883970000001,45,U15554Z1,"Litobratřice, obecní úřad",48.888397,16.40314,550,0,U15554N13,2,{DCA014FA-1E30-4BC5-9913-85CA89D29248}
16.4007350000001,48.8834430000001,46,U15553Z1,"Litobratřice, u konírny",48.883443,16.400735,550,0,U15553N12,2,{3DE6F7D6-34D5-4344-8B2C-F83E162A307D}
16.4037300000001,48.842928,47,U15635Z1,"Hrušovany nad Jevišovkou, STS",48.842928,16.40373,560,0,U15635N11,2,{244ADCBA-4FCD-4BB4-A51E-34A83A730B71}
16.4018980000001,48.8315170000001,48,U15632Z2,"Hrušovany nad Jevišovkou, Lidická, VÚPP",48.831517,16.401898,560,0,U15632N10,2,{D7099DE9-EC20-4E2B-91A5-71F11FF97EEF}
16.399458,48.828742,49,U15631Z1,"Hrušovany nad Jevišovkou, lékárna",48.828742,16.399458,560,0,U15631N9,2,{F78DD3A6-4B2D-4FAA-9B9C-441443EF5B2B}
16.3977100000001,48.817595,50,U15634Z1,"Hrušovany nad Jevišovkou, statek",48.817595,16.39771,560,0,U15634N8,2,{B0400966-78CD-4DCF-A4FB-2DA75DAF95E7}
16.39406,48.8112550000001,51,U15628Z1,"Hrabětice, rozcestí",48.811255,16.39406,560,0,U15628N7,2,{E2963BFD-9F7B-4735-95FF-B1DF1951C856}
16.3834680000001,48.810462,52,U15637Z1,"Hrušovany nad Jevišovkou, žel. st.",48.810462,16.383468,560,0,U15637N6,2,{6F2EADC4-D0DE-4694-99EC-28277418BF29}
16.374043,48.8020930000001,53,U15639Z1,"Šanov, požární zbrojnice",48.802093,16.374043,560,0,U15639N5,2,{E51D950A-6740-4070-A1B7-56D1DF973FCF}
16.386737,48.7992320000001,54,U15640Z1,"Šanov, u mostu",48.799232,16.386737,560,0,U15640N4,2,{A4087D1E-03C1-4740-AB3B-1929AF044A33}
16.395113,48.796863,55,U15627Z1,Hrabětice,48.796863,16.395113,560,0,U15627N3,2,{A8BBC491-D0D6-4740-B47E-F26B57B7E60B}
16.383382,48.7615300000001,56,U15773Z1,"Hevlín, cihelna",48.76153,16.383382,570,0,U15773N2,2,{C9F201FD-56B8-4B21-B23C-5D1F98250CA4}
16.380257,48.7515100000001,57,U15775Z1,"Hevlín, škola",48.75151,16.380257,570,0,U15775N1,2,{8347A924-C30D-471A-9C4B-179A6AFB4358}
16.3827600000001,48.7320970000001,58,U15843Z1,"Hevlín, LAA BOMBA - SHOPPING CENTER",48.732097,16.38276,570,0,U15843N31,2,{16A81487-8CA1-4ED5-8342-147B05B9AD6E}
16.384622,48.7203930000001,59,U15829Z1,"Laa an der Thaya, Stadtplatz",48.720393,16.384622,580,0,U15829N32,2,{476FF0CB-69D3-4508-A7B5-50986240D4AE}
16.402679,48.722881,60,U15838Z1,"Laa an der Thaya, Bahnhof",48.722881,16.402679,580,0,U15838N33,2,{2B44880A-6B35-455B-9B84-EB02134880FB}
16.395582,48.7230470000001,61,U15839Z1,"Laa an der Thaya, Therme",48.723047,16.395582,580,0,U15839N34,2,{FDC67591-548A-4598-B9DC-556B16BAB7C9}
16.395582,48.7230470000001,62,U15839Z2,"Laa an der Thaya, Therme",48.723047,16.395582,580,0,U15839N34,2,{62BACFE1-2FC9-43EA-83C5-46DF2D29EE13}
16.402208,48.723331,63,U15838Z2,"Laa an der Thaya, Bahnhof",48.723331,16.402208,580,0,U15838N33,2,{F74B40D4-8BDF-4C0B-8A6F-48EFDE961D50}
16.384622,48.7203930000001,64,U15829Z2,"Laa an der Thaya, Stadtplatz",48.720393,16.384622,580,0,U15829N32,2,{6639A57E-15B2-43F9-B402-5FB4D07BA2EA}
16.3827600000001,48.7320970000001,65,U15843Z11,"Hevlín, LAA BOMBA - SHOPPING CENTER",48.732097,16.38276,570,0,U15843N31,2,{1CD0D030-7E4D-4296-AAAE-21C0E33A6F68}
16.6161510000001,49.185364,66,U1696Z8,ÚAN Zvonařka,49.185364,16.616151,100,0,U1696N29,2,{A9F852B1-0240-46B3-AC17-6EEF339099C8}
16.0569830000001,48.851908,67,U18009Z51,"Znojmo, autobusové nádraží",48.851908,16.056983,800,0,U18009N35,2,{EA121242-50F2-4EEF-A18D-01BCAC7B3845}
16.057356,48.851886,68,U18009Z1,"Znojmo, autobusové nádraží",48.851886,16.057356,800,0,U18009N35,2,{958DF420-DB11-4ED3-8947-0A2C6D010592}
16.6161510000001,49.185364,69,U1696Z11,ÚAN Zvonařka,49.185364,16.616151,100,0,U1696N29,2,{4DAC52E5-FA9D-4849-9B03-37C16263A4B8}
16.6266580000001,48.801587,70,U15714Z1,"Mikulov, železniční stanice",48.801587,16.626658,571,0,U15714N36,2,{A9586E23-CD90-4EEE-B83F-F8BD7E3BB84B}
16.63395,48.802552,71,U15709Z3,"Mikulov, u parku",48.802552,16.63395,571,0,U15709N37,2,{9C29D941-EF1F-4891-8544-A4C2AC0B5556}
16.6304950000001,48.812258,72,U15702Z2,"Mikulov, Brněnská",48.812258,16.630495,571,0,U15702N38,2,{95B6A531-D660-4CB4-B147-954917052EE7}
16.6128870000001,48.830925,73,U15701Z2,"Bavory, rozcestí",48.830925,16.612887,552,0,U15701N39,2,{42158C8D-8921-463C-AA33-0B4A18A2CC78}
16.6084250000001,48.851635,74,U15545Z2,"Dolní Dunajovice, rozcestí",48.851635,16.608425,552,0,U15545N40,2,{F3874878-D466-4D44-A84D-C3CFAB95F584}
