X,Y,objectid,join_count,target_fid,id,d,e,datum,den,rok,mesic,srazka,pricina,alkohol,zavineni,nasledky,stav_vozovky,povetrnostni_podm,viditelnost,rozhled,misto_nehody,druh_komun,druh_vozidla,stav_ridic,ovlivneni_ridice,osoba,ozn_osoba,pohlavi,nasledek,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,cas,hodina,mesic_t,den_v_tydnu,vek_skupina,nazev,point_x,point_y,globalid
16.564118749,49.192901034,11,1,11,60206100695,-601369.128,-1160655.542,2010/04/29 00:00:00+00,4,2010,4,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky STŮJ DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1600,16,duben,čtvrtek,19-24,Brno-střed,16.56411874,49.19290103,{15BF2BA2-33D7-4A6E-8180-CB854F5C7094}
16.494986066,49.2500730670001,12,1,12,60206100703,-605685.308,-1153789.025,2010/04/30 00:00:00+00,5,2010,4,srážka s domácím zvířetem,nezaviněná řidičem,Nezjišťován,"lesní zvěří, domácím zvířectvem",nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,bez zraněn,0,0,0,30,1505,15,duben,pátek,33-44,Brno-Kníničky,16.49498606,49.25007306,{11CB12A6-0839-4F91-8ED7-D558592AB9C7}
16.540908627,49.2186962600001,13,1,13,60206100787,-602740.036,-1157620.902,2010/05/13 00:00:00+00,4,2010,5,havárie,nezvládnutí řízení vozidla,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,déšť,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,0,2310,23,květen,čtvrtek,33-44,Brno-Komín,16.54090862,49.21869626,{531BF3A5-8D9F-407B-8BCC-36180E8745FF}
16.575379916,49.2135171030001,14,1,14,60206100810,-600305.856,-1158464.95,2010/05/07 00:00:00+00,5,2010,5,"srážka s vozidlem zaparkovaným, odstaveným",jiný druh nesprávného způsobu jízdy,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,50,1400,14,květen,pátek,24-32,Brno-Žabovřesky,16.57537991,49.2135171,{10F0466A-E298-4FCA-B6C0-64AE769C36D5}
16.666030199,49.1995644130001,15,1,15,60206100820,-593905.484,-1160716.212,2010/05/18 00:00:00+00,2,2010,5,srážka s jedoucím nekolejovým vozidlem,při přejíždění z jednoho jízdního pruhu do druhého,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,150,1420,14,květen,úterý,45-60,Brno-Líšeň,16.66603019,49.19956441,{DD6D5EA0-BDB0-4A70-93CC-F564221B4128}
16.643276283,49.2181128070001,16,1,16,60206100839,-595333.438,-1158488.249,2010/05/21 00:00:00+00,5,2010,5,srážka s jedoucím nekolejovým vozidlem,"při zařazování do proudu jedoucích vozidel ze stanice, místa zastavení nebo stání",Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,4,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,10,1710,17,květen,pátek,45-60,Brno-Maloměřice a Obřany,16.64327627,49.2181128,{BE17A518-ACFE-4C9F-9EE4-97F45142A686}
16.6190296770001,49.187612949,17,1,17,60206100845,-597453.474,-1161671.098,2010/05/22 00:00:00+00,6,2010,5,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,1000,1303,13,květen,sobota,45-60,Brno-střed,16.61902967,49.18761295,{8BE304DD-1B75-40BF-867D-C304A892C0A7}
16.691822771,49.1822308280001,18,1,18,60206100849,-592241.615,-1162833.044,2010/05/23 00:00:00+00,7,2010,5,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,10,1020,10,květen,neděle,19-24,Brno-Slatina,16.69182276,49.18223082,{D7542BDD-6788-45CC-961D-0212FD753F6B}
16.6260070870001,49.1590132970001,19,1,19,60206100861,-597288.817,-1164887.681,2010/05/25 00:00:00+00,2,2010,5,srážka s jedoucím nekolejovým vozidlem,nesprávné otáčení nebo couvání,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace účelová - polní a lesní cesty atd.,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,4,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,0,1740,17,květen,úterý,33-44,Brno-jih,16.62600708,49.15901329,{B02973AA-DB97-42C7-ABCD-E624C1227CA8}
16.6260070870001,49.1590132970001,20,1,20,60206100861,-597288.817,-1164887.681,2010/05/25 00:00:00+00,2,2010,5,srážka s jedoucím nekolejovým vozidlem,nesprávné otáčení nebo couvání,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace účelová - polní a lesní cesty atd.,jízdní kolo,,,,,,,0,0,1,0,1740,17,květen,úterý,,Brno-jih,16.62600708,49.15901329,{EF5554D0-0564-44EE-B7B9-6ECA61423460}
16.570648326,49.214869379,21,1,21,60206100887,-600632.315,-1158278.252,2010/05/28 00:00:00+00,5,2010,5,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,60,1650,16,květen,pátek,45-60,Brno-Žabovřesky,16.57064832,49.21486938,{8108E68F-14F3-4AE8-9163-0F87C2533797}
16.5952110690001,49.184873177,22,1,22,60206100932,-599212.344,-1161787.424,2010/06/04 00:00:00+00,5,2010,6,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1430,14,červen,pátek,45-60,Brno-střed,16.59521106,49.18487317,{047E694D-E44C-48A0-B0B0-B5E2E5E0A0A9}
16.652677435,49.2214027260001,23,1,23,60206100936,-594613.44,-1158197.721,2010/06/05 00:00:00+00,6,2010,6,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1720,17,červen,sobota,45-60,Brno-Maloměřice a Obřany,16.65267743,49.22140272,{935E5C3D-7A62-4FD5-96A7-07C5EE6F24C8}
16.521560261,49.235220032,24,1,24,60206100975,-603941.599,-1155641.39,2010/06/11 00:00:00+00,5,2010,6,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)",Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,2325,23,červen,pátek,61-70,Brno-Kníničky,16.52156025,49.23522003,{C921F745-B4E1-4D4C-AAE5-7088A6BE05CE}
16.700790769,49.229901957,25,1,25,60206100990,-591028.401,-1157631.34,2010/06/13 00:00:00+00,7,2010,6,srážka s jedoucím nekolejovým vozidlem,"jízda po nesprávné straně vozovky, vjetí do protisměru",Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,4,1900,1430,14,červen,neděle,19-24,Brno-Líšeň,16.70079076,49.22990195,{9D37CCD9-7271-4AC9-925C-EBF50999E0A1}
16.6299998050001,49.2086716970001,26,1,26,60206101016,-596407.514,-1159428.53,2010/06/15 00:00:00+00,2,2010,6,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,bez zraněn,0,0,0,50,1840,18,červen,úterý,45-60,Brno-sever,16.6299998,49.20867169,{7C19307A-2B7F-4B22-9F62-1314A26AFA2D}
16.6149155580001,49.198945973,27,1,27,60206101034,-597616.312,-1160385.926,2010/06/17 00:00:00+00,4,2010,6,srážka s jedoucím nekolejovým vozidlem,jiný druh nesprávného způsobu jízdy,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,1525,15,červen,čtvrtek,45-60,Brno-střed,16.61491555,49.19894597,{CA39F1BD-784D-42E7-BC56-107550D34651}
16.684725196,49.1460359880001,28,1,28,60206101114,-593184.515,-1166780.089,2010/06/30 00:00:00+00,3,2010,6,jiný druh nehody,jiný druh nepřiměřené rychlosti,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,320,1750,17,červen,středa,45-60,Brno-Tuřany,16.68472519,49.14603598,{4C7D2223-1C9E-4F4F-9B98-7FA7753CBD4D}
16.5079781850001,49.226931397,29,1,29,60206101140,-605025.042,-1156450.16,2010/07/05 00:00:00+00,1,2010,7,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)",Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1100,11,červenec,pondělí,33-44,Brno-Bystrc,16.50797818,49.22693139,{B726ED0C-8B31-4914-B571-9C7D042F8302}
